day,pressure,maxtemp,temperature,mintemp,dewpoint,humidity,cloud,hailfall,sunshine,winddirection,windspeed
1,1025.9,19.9,18.3,16.8,13.1,72,49,no,9.3,80.0,26.3
2,1022.0,21.7,18.9,17.2,15.6,81,83,no,0.6,50.0,15.3
3,1019.7,20.3,19.3,18.0,18.4,95,91,no,0.0,40.0,14.2
4,1018.9,22.3,20.6,19.1,18.8,90,88,yes,1.0,50.0,16.9
5,1015.9,21.3,20.7,20.2,19.9,95,81,yes,0.0,40.0,13.7
6,1020.1,20.5,19.2,17.9,16.5,74,52,no,8.9,75.0,21.6
7,1023.5,19.8,17.8,16.4,14.1,69,36,no,9.5,70.0,24.1
8,1018.6,22.0,19.1,17.6,15.2,67,58,no,7.8,60.0,19.8
9,1022.2,21.6,19.8,18.3,16.7,74,41,no,6.2,65.0,18.4
10,1019.8,20.8,19.4,18.1,16.6,73,43,no,7.2,70.0,17.9
11,1015.2,21.3,20.5,19.3,18.2,90,81,yes,0.0,40.0,14.3
12,1014.7,20.4,19.6,18.2,16.8,79,71,yes,0.0,35.0,13.8
13,1017.9,21.2,19.9,18.6,17.1,77,54,no,6.3,65.0,21.3
14,1020.3,21.5,20.2,18.9,17.3,78,62,no,5.8,60.0,20.7
15,1019.4,22.3,21.0,19.6,18.1,75,59,yes,0.5,50.0,18.6
16,1022.6,21.7,20.3,18.9,17.2,71,47,no,7.7,70.0,21.8
17,1018.5,21.0,19.7,18.4,16.9,72,43,no,7.1,70.0,22.2
18,1016.8,21.4,20.1,18.8,17.3,73,46,yes,0.2,45.0,20.1
19,1014.3,22.1,21.0,19.5,17.8,72,55,no,5.4,60.0,19.7
20,1020.2,20.8,19.3,17.8,15.7,71,50,no,8.3,75.0,22.3
21,1023.8,19.5,17.7,16.1,14.0,68,37,no,9.8,80.0,24.8
22,1019.1,21.9,20.0,18.6,16.9,71,47,no,8.4,75.0,22.6
23,1016.7,20.6,19.4,18.0,16.6,75,52,no,7.5,70.0,23.7
24,1015.9,21.7,20.1,18.6,16.9,72,46,no,7.9,70.0,22.9
25,1018.2,21.0,19.8,18.5,16.8,74,49,no,7.2,70.0,22.3
26,1016.5,20.2,19.0,17.7,16.2,73,47,yes,0.1,40.0,20.7
27,1014.8,20.9,19.4,18.1,16.7,76,50,yes,0.0,35.0,19.1
28,1019.3,21.3,20.0,18.7,17.1,74,49,no,6.9,70.0,21.5
29,1022.7,20.8,19.1,17.7,15.6,70,44,no,8.7,75.0,22.8
30,1021.4,19.9,18.4,16.8,13.7,68,42,no,9.1,80.0,24.3
31,1017.6,21.1,19.8,18.5,17.0,74,54,no,6.8,70.0,22.7
32,1016.2,21.7,20.2,18.9,17.1,73,51,yes,0.3,45.0,21.4
33,1019.0,22.4,21.3,20.0,18.4,77,59,no,5.6,60.0,20.9
34,1016.6,21.6,20.1,18.6,16.9,72,46,no,7.8,70.0,21.9
35,1015.4,20.9,19.7,18.5,17.0,73,50,no,7.4,70.0,23.2
36,1017.7,21.2,20.0,18.7,17.0,75,52,no,7.0,70.0,22.6
37,1020.9,21.9,20.5,19.1,17.6,74,56,no,6.7,70.0,21.8
38,1024.3,20.1,18.7,17.1,15.1,70,41,no,8.6,75.0,24.4
39,1019.5,21.4,20.3,19.0,17.3,72,48,no,7.4,70.0,23.5
40,1018.1,22.2,20.8,19.5,17.8,73,54,no,6.4,65.0,22.1
41,1015.7,22.6,21.3,20.0,18.2,76,56,no,5.9,60.0,21.1
42,1014.6,21.1,20.2,18.7,17.0,73,48,no,7.1,70.0,23.0
43,1018.7,21.6,20.0,18.7,17.0,73,48,no,7.1,70.0,23.0
44,1021.9,20.8,19.2,17.7,15.5,70,43,no,8.5,75.0,25.0
45,1025.3,19.3,17.8,16.3,14.0,68,37,no,9.9,80.0,26.7
46,1020.8,21.7,20.1,18.8,17.2,73,48,no,7.0,70.0,23.1
47,1017.3,20.4,19.3,18.0,16.6,75,51,no,7.2,70.0,24.0
48,1015.6,21.9,20.8,19.5,17.8,75,57,no,6.1,65.0,22.0
49,1018.9,22.3,21.2,19.8,18.2,75,57,no,5.7,60.0,20.8
50,1021.6,20.9,19.3,17.9,15.9,71,47,no,8.4,75.0,23.5
51,1023.1,19.7,18.2,16.7,14.3,68,39,no,9.6,80.0,26.1
52,1018.4,21.3,19.9,18.6,16.9,74,49,no,7.3,70.0,24.0
53,1015.8,22.0,20.8,19.5,18.0,75,55,no,6.0,60.0,21.3
54,1014.5,21.0,20.0,18.6,16.8,73,49,no,7.2,70.0,23.5
55,1018.8,21.6,20.1,18.8,17.0,73,48,yes,0.4,50.0,22.9
56,1022.3,20.8,19.2,17.8,15.5,69,44,no,8.6,75.0,25.3
57,1020.5,19.6,18.0,16.5,13.6,67,37,no,9.7,80.0,26.8
58,1018.3,21.9,20.5,19.2,17.8,76,57,no,5.5,60.0,20.3
59,1014.9,21.2,20.4,19.1,17.6,76,58,yes,0.0,35.0,19.8
